Name of Student,DAA,OS,PMR,R_PROG,DBMS
22AIML001,19,15,14.5,12,17
22AIML002,24,21.5,15.125,7.5,22.75
22AIML003,21,16.5,18.375,18,18.75
22AIML004,21,20.5,22.125,23.5,20.75
22AIML005,20,19.5,19.875,20,19.75
22AIML006,0,0,0,0,0
22AIML007,0,20,12,14,10
22AIML008,22,17.5,16.375,13,19.75
22AIML009,21,19,19.75,19.5,20
22AIML010,10,9,8.5,7.5,9.5
22AIML011,21,21.5,20.375,19.5,21.25
22AIML012,17,13.5,11.625,8,15.25
22AIML013,22,23,21.75,21,22.5
22AIML014,19,17.5,16.375,14.5,18.25
22AIML015,22,19,22.75,25,20.5
22AIML016,23,13.5,14.125,10,18.25
22AIML017,18,14.5,14.125,12,16.25
22AIML018,20,19,18.25,17,19.5
22AIML019,22,24.5,20.375,17.5,23.25
22AIML020,23,23,20,17,23
22AIML021,25,17.5,19.625,18,21.25
22AIML022,22,19,18.5,16.5,20.5
22AIML023,26,26.5,24.125,22,26.25
22AIML024,15,22,17.25,16,18.5
22AIML025,21,25.5,22.125,21,23.25
22AIML026,24,11,12.75,8,17.5
22AIML027,24,19.5,18.625,15.5,21.75
22AIML028,23,25,23.5,23,24
22AIML029,23,24,22.75,22,23.5
22AIML030,24,19.5,21.875,22,21.75
22AIML031,21,20,18.25,16,20.5
22AIML032,22,17,17,14.5,19.5
22AIML033,22,16,17.75,16.5,19
22AIML034,24,21,22.25,22,22.5
22AIML035,27,23.5,23.625,22,25.25
22AIML036,21,17.5,17.875,16.5,19.25
22AIML037,22,20.5,22.625,24,21.25
22AIML038,21,22,19.75,18,21.5
22AIML039,21,15.5,17.625,17,18.25
22AIML040,22,13,19.25,21,17.5
22AIML041,25,17.5,16.625,12,21.25
22AIML042,20,19,17,14.5,19.5
22AIML043,22,14.5,16.625,15,18.25
22AIML044,17,17,17.25,17.5,17
22AIML045,22,19.5,17.125,13.5,20.75
22AIML046,26,13.5,16.875,14,19.75
22AIML047,20,18,17,15,19
22AIML048,24,25,24.5,24.5,24.5
22AIML049,25,27,25.25,24.5,26
22AIML050,0,0,0,0,0
22AIML051,26,20.5,20.875,18.5,23.25
22AIML052,26,16.5,22.375,23.5,21.25
22AIML053,27,22.5,23.375,22,24.75
